id,bhishm_id,mc_name,cc_no,cc_name,kitname,no_of_kit,sku_code,sku_name,batch_no_sr_no,mfd,exp,manufactured_by,no_of_item
54935,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),ANTIBIOTIC KIT,1,HDP0071,IV TRANSFUSION SET,G25D020122,2025-04-01,2030-03-31,ROMSONS,15
54936,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),ANTIBIOTIC KIT,1,HDP0229,"INJ AMOXYCILLIN AND POTASSIUM CLAVULANATE
1.2GM",AQL0065,2025-05-01,2027-04-30,ABBOTT,15
54930,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),ANTIBIOTIC KIT,1,HDP0233,"INJ CEFOTAXIME
1GM",NPL0079,2025-11-01,2027-10-31,ABBOTT,15
54926,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),ANTIBIOTIC KIT,1,HDP0245,"INJ METRONIDAZOLE
500MG/100ML",ABL0357,2025-11-01,2028-10-31,ABBOTT,15
54933,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),ANTIBIOTIC KIT,1,HDP0303,"SYRINGE DISPOSABLE
5ML WITH NEEDLE",G25D020079,2025-04-01,2030-03-31,ROMSONS,30
54937,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),ANTIBIOTIC KIT,1,HDP0318,ALCOHOL SWAB,25101053,2025-10-01,2030-09-30,HAIDEN,200
54939,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),ANTIBIOTIC KIT,1,KIT INSIDE KIT,IV CANNULATION KIT,NA,NA,2028-04-30,CUSTOMISED,15
54928,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),PAIN RELIEF KIT,1,HDP0071,IV TRANSFUSION SET,G25D020122,2025-04-01,2030-03-31,ROMSONS,15
54929,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),PAIN RELIEF KIT,1,HDP0248,"INJ ONDANSETRON
2MG/ML",NCL0252,2025-11-01,2027-10-31,ABBOTT,15
54927,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),PAIN RELIEF KIT,1,HDP0249,"INJ PANTAPRAZOLE
40MG",AQL0183,2025-11-01,2027-10-31,ABBOTT,15
54938,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),PAIN RELIEF KIT,1,HDP0257,"INJ TRAMADOL
100MG/ML",NA00201A,2025-08-01,2027-07-31,ZYDUS HEALTHCARE LIMITED,15
54932,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),PAIN RELIEF KIT,1,HDP0260,"PARACETEMOL INFUSION
10MG/ML",ABL0308,2025-09-01,2027-08-31,ABBOT,15
54934,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),PAIN RELIEF KIT,1,HDP0301,"SYRINGE DISPOSABLE
2ML WITH NEEDLE",G25A020790,2025-01-01,2029-12-31,ROMSONS,15
54931,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),PAIN RELIEF KIT,1,HDP0303,"SYRINGE DISPOSABLE
5ML WITH NEEDLE",G25D020079,2025-04-01,2030-03-31,ROMSONS,15
54925,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),PAIN RELIEF KIT,1,HDP0318,ALCOHOL SWAB,25101053,2025-10-01,2030-09-30,HAIDEN,100
54940,69,MOTHER CUBE1,1/1,ANTIBIOTIC AND PAIN MANAGEMENT SET (ATLS),PAIN RELIEF KIT,1,KIT INSIDE KIT,IV CANNULATION KIT,NA,NA,2028-04-30,CUSTOMISED,15
54943,69,MOTHER CUBE1,1/2,HYPOVOLUMIC SHOCK SET (TCCC & ATLS),BP KIT,1,HDP0142,BP APPARATUS DIGITAL,QQ5L14K1096612/25,2025-06-01,NA,BPL MEDICAL TECHNOLOGIES PVT,1
